Subject,AverageAbsoluteVelocity,AbsoluteSize
51,10.2164,0.9122
51,5.073,0.3477
51,10.4226,0.8285
51,5.1216,0.369
52,1.6314,0.2324
52,2.1048,0.1858
52,4.2184,0.4865
52,3.5359,0.3383
52,2.0979,0.2072
52,3.1438,0.4073
52,4.0628,0.4122
52,1.8834,0.3764
52,1.1286,0.0645
52,5.1761,0.4797
53,8.7078,0.8624
53,25.5876,2.2326
53,9.8618,1.2069
53,27.6187,2.6725
53,11.1525,1.2682
53,16.7591,1.8385
53,14.6111,1.8402
53,19.0395,2.307
53,14.9854,1.8727
53,15.6299,1.9555
54,6.8375,0.8697
54,1.045,0.0636
54,10.275,1.2254
54,1.8858,0.0937
54,1.628,0.0774
54,10.0892,1.1466
54,10.3383,1.2256
54,10.3338,1.2599
54,2.4939,0.1207
54,2.0603,0.1055
55,5.2931,0.492
55,17.6075,1.8246
55,6.7981,0.6706
55,6.9953,0.721
55,6.9085,0.6862
55,6.6133,0.5715
55,7.6397,0.6206
55,7.437,0.601
55,6.9731,0.7056
55,8.1684,0.7293
56,16.557,1.6347
56,25.5267,1.5388
56,18.2381,1.301
56,22.7462,1.7383
56,19.5858,1.4246
56,20.7406,1.6139
56,17.1083,1.3257
56,20.9562,1.606
56,19.496,1.4472
56,16.5079,1.091
57,3.3316,0.5724
57,7.8557,0.8378
57,7.5589,0.8532
57,13.1849,1.6285
57,7.0349,0.8486
57,8.3101,1.0573
57,6.9048,1.0198
57,5.238,0.7905
57,6.2256,0.8412
57,8.8082,1.1069
58,3.0969,0.0352
58,13.2386,1.3207
58,13.7581,1.3663
58,13.0455,1.3625
58,12.9377,1.156
58,14.0789,1.3207
58,15.7142,1.5553
58,13.1753,1.3746
58,16.9923,1.6051
58,16.3587,1.5533
59,13.1159,1.3611
59,1.93,0.1583
59,12.2956,1.5845
59,19.1185,1.9704
59,15.4428,1.8269
59,14.4477,1.6535
59,10.8963,1.9238
59,18.1262,2.2517
59,17.3109,2.0657
59,1.8844,0.1355
60,3.8854,0.33
60,16.2363,1.4065
60,7.7022,0.4239
60,4.3169,0.3045
60,5.9694,0.4934
60,3.2928,0.2599
60,3.3545,0.1876
60,5.1813,0.4335
60,3.3512,0.2321
60,13.2646,1.0231
61,7.6508,0.9025
61,8.3289,0.8579
61,2.4186,0.176
61,10.3888,0.8685
61,9.8022,1.0889
61,8.9658,0.7784
61,11.4296,1.2051
61,9.9318,0.8979
61,8.3069,0.8583
61,1.2765,0.0572
62,11.5648,0.8138
62,12.4244,0.8261
62,13.0586,0.8666
62,8.7385,0.5722
62,15.2397,1.144
62,15.2004,1.1441
62,13.6078,1.0189
62,24.7534,2.0933
62,21.277,1.7684
62,16.0921,1.2948
63,5.2408,0.471
63,6.2308,0.5561
63,4.7022,0.4682
63,5.8071,0.5198
63,6.7585,0.5862
63,3.3977,0.2814
63,4.6342,0.433
63,4.5253,0.3801
63,5.4532,0.4598
63,3.9325,0.3128
64,3.1851,0.1264
64,3.8004,0.2097
64,5.3193,0.3322
64,4.5482,0.324
64,4.5527,0.297
64,3.1967,0.2313
64,3.7958,0.2848
64,3.5852,0.2808
64,3.8244,0.3133
64,4.1511,0.3081
65,1.145,0.1135
65,1.8955,0.1482
65,2.9974,0.2245
65,2.457,0.2004
65,2.5825,0.1793
65,2.7032,0.2084
65,3.6351,0.3055
65,3.2656,0.2761
65,3.0729,0.2764
65,2.4117,0.165
66,11.3634,1.2241
66,4.3072,0.351
66,5.627,0.5546
66,4.825,0.6172
